lower,upper
7.175344981827786,7.868328169359063
7.253208241132189,7.798118660506174
7.482055690369931,8.063113342499776
7.08393360260545,7.780987987139823
7.303010554737008,7.829705614164046
7.32381199673814,7.927266285692079
7.024912576507563,7.589264637842648
6.657572221734278,7.500985613873984
6.7356321208294325,7.322348155100821
6.947789323484075,7.633543381152756
6.820398894788821,7.239518049441492
6.833602339811382,7.519238956768403
6.77761994496214,7.496407817632635
6.3564469688998715,7.006223562879291
6.7277723466927615,7.179924567891514
6.445318149436871,7.191000218563482
6.754729325080246,7.30264365283846
6.598574991618064,7.367948867290774
6.683290070391901,7.231410078968209
6.191461666153041,7.035711326246977
6.48791581941704,6.924848852963692
6.213489641898981,6.835932659937922
6.312349423258662,7.036194104689642
6.378308721863638,6.874097134772478
6.153645835896263,7.121749844944138
6.370477246055385,7.1326169388573195
6.282535393975247,7.144210268229335
6.272198460299583,6.731478234526659
6.288643866211898,6.7981407549162896
6.146790086400007,6.782030778437875
6.181131556898518,6.6948256374299
6.0249070936821925,6.584146947450141
6.117913338660893,6.6837718756772295
6.013190375391363,6.618937920215441
6.197781365022415,6.9529405944213645
5.935030730450983,6.882273693726626
6.268706581253644,7.04274190862645
5.857764680090722,6.683232569939177
5.765142714303178,6.491716550729844
6.216540325751998,6.686610745099163
5.966707306236681,6.498428011108411
6.01918640635802,7.637647185027457
6.246122565716189,6.939830658636698
6.047046739318138,6.5920380901745785
5.766013481143506,6.397059693192428
5.775299897018488,6.337477221973191
5.760601080907627,6.262641463552451
5.2565285178244014,6.216591923592805
5.794313946774379,6.282084528596646
6.020693917952537,6.69067336376716
5.93914720860982,6.543378601267671
5.867761892375548,6.4990048679994175
5.783139758017326,6.169509015754222
6.044343895941532,6.440198892747087
5.291909849376825,6.192489026710002
5.707438674197797,6.344619326376695
5.90521345546619,6.395557123620807
5.401176395734598,5.9883729604419065
5.585945217625207,6.051835019753605
5.596177085312038,6.130975137118648
5.4176990124023545,6.002272187550457
5.508162963880558,6.198955016467134
5.652301608015558,6.060527264683988
5.199306745742636,6.152854698772533
5.141844392912839,5.865469953034003
5.334804341411747,6.153012930001768
5.188019595530019,5.811052433150245
5.378781650136087,6.089094969406841
5.580939097131564,6.022038011979362
5.142478225131549,5.811017930483204
5.527568900164192,6.34575761285542
5.422097497138219,6.090249162775234
5.276124806634864,6.061437064474694
5.318729827229422,5.9958789564791335
5.392403358886184,6.032690430544885
5.1286662453051814,6.283590994523995
5.261790571302123,5.795037964067352
4.844824285028254,5.830648529913597
4.992432994103543,5.47627091224486
5.230227505124063,5.97292699048082
5.055360917342806,5.586327871102016
5.239847913580596,6.0074875022999565
4.883090584952245,5.555491849179111
5.168844525682595,5.528770235722188
4.488346818882017,5.529327973500433
5.067846852948671,5.974657710502677
5.1457650361802205,5.508586419475608
4.445729849041533,5.309251639122442
4.641686679341412,5.309188927646602
5.033805570314087,5.340340857875022
4.876548835276795,5.665883010272269
4.175964186895512,5.300640232448979
4.893327146352826,5.720509378892193
4.847974954025137,5.294125101833598
4.282193672732164,5.485188610021775
4.833059690100351,5.431177776002801
4.60002644004233,5.3010780920992495
4.4910185236688385,5.046905231755089
4.581923736717305,5.06237975174385
4.582813565794033,5.398569766507921
4.394538874044744,4.976110422689301
4.687001610354768,5.393022378301693
3.520841725078745,4.820563312397335
4.232271801327029,5.119390729875243
4.324939814579061,4.883068577628292
4.423970808241262,5.55027861768135
4.30142794407638,5.156979933062628
4.003669276430361,4.975470443982767
4.027502219351991,5.403879403189783
4.079331484608593,4.611658756116881
4.334936730687499,4.673580087958749
4.040610179899035,4.696885900852127
4.117686200580171,4.88779210376913
4.250385363177377,5.543400757877724
4.282379506920685,4.7992305060255225
4.218965056678608,5.8299595509717035
3.720779143431928,4.473964555460131
3.738900748019278,4.942741338087254
4.226276389946824,5.164365816995511
3.984197742652825,4.7733503430377064
3.7414632543092874,4.2863606283810975
4.0113604797162195,4.651451015782144
3.9362928772267116,4.330147686228225
3.7710679958093003,4.482532269206065
3.3155521469042437,4.991209831873253
3.14857974989129,3.970286579935798
3.7167056296178305,4.53845464677083
3.2008900544742818,4.339192535121316
3.156948603070633,3.828488118767009
3.4013064665699795,4.529804844741879
3.006254838009362,3.6984629935375426
2.6658571547431276,3.6183267563411836
2.9403350067386183,4.514929120738786
2.4461903830831546,3.3813870710824854
2.7833558824031934,4.463254243149714
2.1693412959054204,3.7156878192588496
1.2076552932603417,2.1341160243360315
